"Datum und Uhrzeit";"Wochentag";"#";"ST";"Mannschaft 1";"Mannschaft 1: Verein";"Mannschaft 2";"Mannschaft 2: Verein";"Schiedsgericht";"Schiedsgericht: Verein";"Gastgeber";"Gastgeber: Verein";"Austragungsort/Ergebnis";"Austragungsort";"Ergebnis";"Saison";"Spielrunde";"Geschlecht";"Ballpunkte";"Spieldauer";"Satzpunkte 1";"Satzpunkte 2";"Satz 1 - Ballpunkte 1";"Satz 1 - Ballpunkte 2";"Satz 1 - Satzdauer";"Satz 2 - Ballpunkte 1";"Satz 2 - Ballpunkte 2";"Satz 2 - Satzdauer";"Satz 3 - Ballpunkte 1";"Satz 3 - Ballpunkte 2";"Satz 3 - Satzdauer";
"20.09.2026, 11:00:00";"Sonntag";"4";"Spieltag 1";"SV Blau-Weiß Aasee";"SV Blau-Weiß Aasee e.V.";"TuS Bönen";"Turn- u. Sportvereinigung Bönen 01 e.V.";"USC Münster II";"USC Münster e.V.";"SV Blau-Weiß Aasee";"SV Blau-Weiß Aasee e.V.";"Erich-Klausener-Schule (48151 Münster)";"Erich-Klausener-Schule (48151 Münster)";"-";"2026/27";"Oberliga 6 wU18";"weiblich";
"20.09.2026, 12:00:00";"Sonntag";"5";"Spieltag 1";"USC Münster II";"USC Münster e.V.";"TuS Bönen";"Turn- u. Sportvereinigung Bönen 01 e.V.";"SuS Oberaden";"SuS Oberaden 1921 e.V.";"SV Blau-Weiß Aasee";"SV Blau-Weiß Aasee e.V.";"Erich-Klausener-Schule (48151 Münster)";"Erich-Klausener-Schule (48151 Münster)";"-";"2026/27";"Oberliga 6 wU18";"weiblich";
"20.09.2026, 13:00:00";"Sonntag";"1";"Spieltag 1";"Lüner SV";"Lüner SV e.V.";"ASV Senden";"ASV Senden e.V.";"TSV Handorf";"TSV Handorf 1926/64 e.V.";"Lüner SV";"Lüner SV e.V.";"Gymnasium Altlünen (44534 Lünen)";"Gymnasium Altlünen (44534 Lünen)";"-";"2026/27";"Oberliga 6 wU18";"weiblich";
"20.09.2026, 13:00:00";"Sonntag";"6";"Spieltag 1";"SV Blau-Weiß Aasee";"SV Blau-Weiß Aasee e.V.";"SuS Oberaden";"SuS Oberaden 1921 e.V.";"TuS Bönen";"Turn- u. Sportvereinigung Bönen 01 e.V.";"SV Blau-Weiß Aasee";"SV Blau-Weiß Aasee e.V.";"Erich-Klausener-Schule (48151 Münster)";"Erich-Klausener-Schule (48151 Münster)";"-";"2026/27";"Oberliga 6 wU18";"weiblich";
"20.09.2026, 14:00:00";"Sonntag";"2";"Spieltag 1";"ASV Senden";"ASV Senden e.V.";"TSV Handorf";"TSV Handorf 1926/64 e.V.";"Lüner SV";"Lüner SV e.V.";"Lüner SV";"Lüner SV e.V.";"Gymnasium Altlünen (44534 Lünen)";"Gymnasium Altlünen (44534 Lünen)";"-";"2026/27";"Oberliga 6 wU18";"weiblich";
"20.09.2026, 14:00:00";"Sonntag";"7";"Spieltag 1";"USC Münster II";"USC Münster e.V.";"SuS Oberaden";"SuS Oberaden 1921 e.V.";"SV Blau-Weiß Aasee";"SV Blau-Weiß Aasee e.V.";"SV Blau-Weiß Aasee";"SV Blau-Weiß Aasee e.V.";"Erich-Klausener-Schule (48151 Münster)";"Erich-Klausener-Schule (48151 Münster)";"-";"2026/27";"Oberliga 6 wU18";"weiblich";
"20.09.2026, 15:00:00";"Sonntag";"3";"Spieltag 1";"TSV Handorf";"TSV Handorf 1926/64 e.V.";"Lüner SV";"Lüner SV e.V.";"ASV Senden";"ASV Senden e.V.";"Lüner SV";"Lüner SV e.V.";"Gymnasium Altlünen (44534 Lünen)";"Gymnasium Altlünen (44534 Lünen)";"-";"2026/27";"Oberliga 6 wU18";"weiblich";
"08.11.2026, 11:00:00";"Sonntag";"8";"Spieltag 2";"USC Münster II";"USC Münster e.V.";"ASV Senden";"ASV Senden e.V.";"SV Blau-Weiß Aasee";"SV Blau-Weiß Aasee e.V.";"USC Münster II";"USC Münster e.V.";"Kardinal-von-Galen-Gymnasium (48165 Münster)";"Kardinal-von-Galen-Gymnasium (48165 Münster)";"-";"2026/27";"Oberliga 6 wU18";"weiblich";
"08.11.2026, 11:00:00";"Sonntag";"11";"Spieltag 2";"SuS Oberaden";"SuS Oberaden 1921 e.V.";"TSV Handorf";"TSV Handorf 1926/64 e.V.";"TuS Bönen";"Turn- u. Sportvereinigung Bönen 01 e.V.";"SuS Oberaden";"SuS Oberaden 1921 e.V.";"Realschule Oberaden (59192 Bergkamen)";"Realschule Oberaden (59192 Bergkamen)";"-";"2026/27";"Oberliga 6 wU18";"weiblich";
"08.11.2026, 12:00:00";"Sonntag";"9";"Spieltag 2";"ASV Senden";"ASV Senden e.V.";"SV Blau-Weiß Aasee";"SV Blau-Weiß Aasee e.V.";"USC Münster II";"USC Münster e.V.";"USC Münster II";"USC Münster e.V.";"Kardinal-von-Galen-Gymnasium (48165 Münster)";"Kardinal-von-Galen-Gymnasium (48165 Münster)";"-";"2026/27";"Oberliga 6 wU18";"weiblich";
"08.11.2026, 12:00:00";"Sonntag";"12";"Spieltag 2";"TuS Bönen";"Turn- u. Sportvereinigung Bönen 01 e.V.";"TSV Handorf";"TSV Handorf 1926/64 e.V.";"Lüner SV";"Lüner SV e.V.";"SuS Oberaden";"SuS Oberaden 1921 e.V.";"Realschule Oberaden (59192 Bergkamen)";"Realschule Oberaden (59192 Bergkamen)";"-";"2026/27";"Oberliga 6 wU18";"weiblich";
"08.11.2026, 13:00:00";"Sonntag";"10";"Spieltag 2";"SV Blau-Weiß Aasee";"SV Blau-Weiß Aasee e.V.";"USC Münster II";"USC Münster e.V.";"ASV Senden";"ASV Senden e.V.";"USC Münster II";"USC Münster e.V.";"Kardinal-von-Galen-Gymnasium (48165 Münster)";"Kardinal-von-Galen-Gymnasium (48165 Münster)";"-";"2026/27";"Oberliga 6 wU18";"weiblich";
"08.11.2026, 13:00:00";"Sonntag";"13";"Spieltag 2";"SuS Oberaden";"SuS Oberaden 1921 e.V.";"Lüner SV";"Lüner SV e.V.";"TSV Handorf";"TSV Handorf 1926/64 e.V.";"SuS Oberaden";"SuS Oberaden 1921 e.V.";"Realschule Oberaden (59192 Bergkamen)";"Realschule Oberaden (59192 Bergkamen)";"-";"2026/27";"Oberliga 6 wU18";"weiblich";
"08.11.2026, 14:00:00";"Sonntag";"14";"Spieltag 2";"TuS Bönen";"Turn- u. Sportvereinigung Bönen 01 e.V.";"Lüner SV";"Lüner SV e.V.";"SuS Oberaden";"SuS Oberaden 1921 e.V.";"SuS Oberaden";"SuS Oberaden 1921 e.V.";"Realschule Oberaden (59192 Bergkamen)";"Realschule Oberaden (59192 Bergkamen)";"-";"2026/27";"Oberliga 6 wU18";"weiblich";
"05.12.2026, 11:00:00";"Samstag";"15";"Spieltag 3";"TuS Bönen";"Turn- u. Sportvereinigung Bönen 01 e.V.";"SuS Oberaden";"SuS Oberaden 1921 e.V.";"ASV Senden";"ASV Senden e.V.";"TuS Bönen";"Turn- u. Sportvereinigung Bönen 01 e.V.";"Goetheschule (59199 Bönen)";"Goetheschule (59199 Bönen)";"-";"2026/27";"Oberliga 6 wU18";"weiblich";
"05.12.2026, 12:00:00";"Samstag";"16";"Spieltag 3";"SuS Oberaden";"SuS Oberaden 1921 e.V.";"ASV Senden";"ASV Senden e.V.";"TuS Bönen";"Turn- u. Sportvereinigung Bönen 01 e.V.";"TuS Bönen";"Turn- u. Sportvereinigung Bönen 01 e.V.";"Goetheschule (59199 Bönen)";"Goetheschule (59199 Bönen)";"-";"2026/27";"Oberliga 6 wU18";"weiblich";
